,CSC,BM,BD,BL,BG,TS,WP,WS
Australian,0.8658953513447045,0.8712889769862763,0.8702209084287844,0.8692309790927245,0.8673235597191862,0.8715752150169186,0.8673235597191862,0.8712889769862763
Banana,0.7416690024689799,0.714026703966756,0.7250964072895123,0.6817393134640668,0.7083402190347703,0.6899423545564266,0.7083402190347703,0.714026703966756
Bands,0.5768151299717145,0.5560198424971181,0.5782970975078485,0.5530496476561394,0.5437183471389273,0.5361988158573799,0.5437183471389273,0.5560198424971181
Breast,0.6187662451371579,0.6343067976676429,0.6250280447107072,0.6241291526157247,0.6155978731010823,0.6230542998585923,0.6155978731010823,0.6343067976676429
Bupa,0.638190701548001,0.6159676161013252,0.5858504885851618,0.6052193435901346,0.6227744977098478,0.6222368176600004,0.6227744977098478,0.6159676161013252
Chess,0.8089300612295311,0.7213944398855083,0.8095444316063898,0.7332023771035642,0.6784256186471588,0.6869145058740685,0.6784256186471588,0.7213944398855083
Contraceptive,0.4486209024421994,0.469564589189632,0.4973668504105224,0.48335032979050296,0.4215588796921976,0.42400580489672973,0.4215588796921976,0.469564589189632
Crx,0.866886178758097,0.8641180890436887,0.8724817338913713,0.8641180890436887,0.8643765913595687,0.8626744171158963,0.8643765913595687,0.8641180890436887
German,0.5945879914170689,0.5670736530969911,0.6319097033912469,0.5745888613528221,0.5762857500553593,0.5667464083557772,0.5762857500553593,0.5670736530969911
Hayes-roth,0.7936258186258186,0.8853901653901654,0.8298437673437673,0.8695104895104896,0.8751581751581752,0.8751581751581752,0.8751581751581752,0.8853901653901654
Heart,0.8072436848528943,0.7907170511480855,0.813226992297699,0.8121285665352603,0.7706055747378573,0.7757663579589149,0.7706055747378573,0.7907170511480855
Housevotes,0.9568340644862385,0.9566708074534163,0.9566708074534163,0.9566708074534163,0.9566708074534163,0.9480888169801214,0.9566708074534163,0.9566708074534163
Ionosphere,0.9085769410463002,0.8989753582243261,0.8975694607297274,0.8958711196549711,0.8899618576188095,0.8899618576188095,0.8899618576188095,0.8989753582243261
Iris,0.931018611018611,0.9242846042846043,0.931018611018611,0.9242846042846043,0.931018611018611,0.931018611018611,0.931018611018611,0.9242846042846043
Led7digit,0.6272047527635763,0.5003511093309856,0.6340514061102297,0.5076873928445136,0.49212749668632016,0.48117680986024636,0.49212749668632016,0.5003511093309856
Letter,0.4231556940555099,0.3027553167174479,0.42292618627928047,0.3380083037868977,0.23668490380799007,0.26616383218716505,0.23668490380799007,0.3027553167174479
Magic,0.7905333664124478,0.7693631112349057,0.7725007582183168,0.7753977553067753,0.765660645699356,0.7629097015035919,0.765660645699356,0.7693631112349057
Mammographic,0.815954813311097,0.8357654690863836,0.8039886608412212,0.8334693825202739,0.832134315072014,0.8328622573275559,0.832134315072014,0.8357654690863836
Marketing,0.15329970823041966,0.13191537501282324,0.13497150920599812,0.1295834810594068,0.14504797166306577,0.13982167919045638,0.14504797166306577,0.13191537501282324
Monk-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Movement_libras,0.30888071188071187,0.26604710104710105,0.3016998556998557,0.27628379028379035,0.1911580641580642,0.2505064565064565,0.1911580641580642,0.26604710104710105
Mushroom,0.9992505382896295,0.9826954926956087,0.9645555703919648,0.9821410498837171,0.9910231779631852,0.9645555703919648,0.9910231779631852,0.9826954926956087
Optdigits,0.133862780298806,0.14539252724375606,0.14337343740082759,0.14893086168894104,0.10206497529529535,0.14319467289342902,0.10206497529529535,0.14539252724375606
Penbased,0.8441473353432087,0.7613155537403969,0.8390398784771236,0.7504948408094415,0.7455002154975671,0.7570752062104396,0.7455002154975671,0.7613155537403969
Phoneme,0.7788222895909864,0.7688629710051788,0.7354940681444286,0.7620108106625746,0.7735022265946057,0.7670356533366143,0.7735022265946057,0.7688629710051788
Pima,0.6726499696863357,0.6861546563546355,0.6902235400057771,0.6950312419232685,0.6738480909662792,0.6907755278946814,0.6738480909662792,0.6861546563546355
Ring,0.9068116063621341,0.780511825567164,0.8256792098685747,0.7893725583302894,0.7779661814601362,0.7818581656206322,0.7779661814601362,0.780511825567164
Saheart,0.5828338826778868,0.6107241416232105,0.6227797036506834,0.6172149376494593,0.6133067424545068,0.6281217941405892,0.6133067424545068,0.6107241416232105
Satimage,0.8131639343386741,0.773393121236673,0.8130787638850048,0.7896732175199779,0.7252047638004389,0.7425929608894275,0.7252047638004389,0.773393121236673
Segment,0.837972856238175,0.7388825716937131,0.7984081889050061,0.714941201704675,0.7975168136398738,0.7207287504818934,0.7975168136398738,0.7388825716937131
Sonar,0.763949880846334,0.6978329676859089,0.7163645962927158,0.7619540179985732,0.6839854867354868,0.7005383782883783,0.6839854867354868,0.6978329676859089
Spambase,0.9272456952295693,0.8842433722815827,0.8890716248939976,0.8959646231234599,0.8263680259164407,0.8592185271233918,0.8263680259164407,0.8842433722815827
Splice,0.9076698421049108,0.8937539758044757,0.9146195201811412,0.8909165510047059,0.8429964415494144,0.8678397691258436,0.8429964415494144,0.8937539758044757
Tae,0.4957734857734858,0.5026876826876827,0.5034088134088134,0.5026876826876827,0.5226493876493876,0.5226493876493876,0.5226493876493876,0.5026876826876827
Texture,0.7834127740936766,0.6828821182517237,0.7780658869218815,0.695024640476303,0.6167835116360434,0.6390220440690119,0.6167835116360434,0.6828821182517237
Tic-tac-toe,1.0,0.9812241013743475,0.9931556599371636,0.980077832717631,0.8594986696743956,0.9244813558150217,0.8594986696743956,0.9812241013743475
Titanic,0.6653759648039637,0.6700663687867549,0.6690822044435148,0.67009413282464,0.6806725907065688,0.6806725907065688,0.6806725907065688,0.6700663687867549
Twonorm,0.9129266916848999,0.8538713727712611,0.8799929981942192,0.8714533291924749,0.817170405418102,0.8193708888509029,0.817170405418102,0.8538713727712611
Vehicle,0.6166201805435119,0.5549346429561625,0.6195403279790039,0.5720137878002275,0.5133728056142135,0.5340107729280958,0.5133728056142135,0.5549346429561625
Vowel,0.5811219987685755,0.4483517874556083,0.5665583565016867,0.4684550828081126,0.39893036355485145,0.4070761949452321,0.39893036355485145,0.4483517874556083
Wdbc,0.958514962029142,0.9392625049235048,0.9289627879981044,0.9318727038312314,0.9530879760381026,0.9416424121064612,0.9530879760381026,0.9392625049235048
Wine,0.9050023179434945,0.9269659044659045,0.8965341194752959,0.9268451918451918,0.8956795056795055,0.8981205831205831,0.8956795056795055,0.9269659044659045
Wisconsin,0.9492820185253125,0.949814607364529,0.9448312944343978,0.9491251671541289,0.9420592954522615,0.9467128611723907,0.9420592954522615,0.949814607364529
